"18-09-2017","Le bon, la brute et le truand","6ter","21h00","2.1%"
"18-09-2017","Crimes","NRJ 12","20h55","1.8%"
"18-09-2017","Salem","TF1 Séries Films","Unknown","1.5%"
"18-09-2017","Americars","RMC","20h50","1.2%"
"18-09-2017","Comme des frères","Chérie 25","20h55","0.9%"
"18-09-2017","Le tailleur de Panama","France Ô","20h55","0.9%"
"18-09-2017","Révélations","Numéro 23","20h55","0.8%"
"18-09-2017","La caverne de la rose d'or II","Gulli","Unknown","0.3%"
"19-09-2017","Quadras","M6","21h00","15.8%"
"19-09-2017","Le viol","France 3","21h00","14.6%"
"19-09-2017","Conviction *2016","TF1","Unknown","12.3%"
"19-09-2017","Ensemble pour les Antilles","France 2","21h05","9.7%"
"19-09-2017","Viêtnam","ARTE","20h50","4.4%"
"19-09-2017","Amélie au pays des Bodin's","C8","21h00","4.2%"
"19-09-2017","Le septième fils","France 4","20h55","4.1%"
"19-09-2017","Tanguy","TMC","21h00","3.4%"
"19-09-2017","Sexe entre amis","TFX","21h00","3.1%"
"19-09-2017","Aux portes du cosmos","France 5","20h55","2.9%"
"19-09-2017","Will Hunting","Chérie 25","20h55","2.8%"
"19-09-2017","Véto de choc","W9","21h00","2.5%"
"19-09-2017","Hors de contrÃ´le","RMC","20h50","2.2%"
"19-09-2017","MÃ¶bius","NRJ 12","20h55","2%"
"19-09-2017","Hawaii 5-0","6ter","21h00","1.5%"
"19-09-2017","L'affaire Bruay-en-Artois","Numéro 23","20h55","1.5%"
"19-09-2017","Shining","TF1 Séries Films","Unknown","0.9%"
"19-09-2017","Legends of Tomorrow","CSTAR","Unknown","0.7%"
"19-09-2017","Les tricheurs","France Ô","21h05","0.7%"
"19-09-2017","La planète des singes","Gulli","20h55","0.7%"
"20-09-2017","Alex Hugo","France 2","21h00","23%"
"20-09-2017","Esprits criminels","TF1","21h00","19.6%"
"20-09-2017","Cauchemar en cuisine","M6","21h00","13.4%"
"20-09-2017","Hitler et Churchill : le combat de l'aigle et du lion","France 3","20h55","7.4%"
"20-09-2017","90' Enquêtes","TMC","21h00","3.6%"
"20-09-2017","Enquête de santé","France 5","20h50","3.5%"
"20-09-2017","Viêtnam","ARTE","20h55","3.4%"
"20-09-2017","Les combattants","France 4","21h05","3%"
"20-09-2017","Enquêtes criminelles","W9","21h00","2.9%"
"20-09-2017","La folle histoire de TPMP !","C8","21h00","2.4%"
"20-09-2017","Big Driver","TF1 Séries Films","Unknown","2%"
"20-09-2017","The Tomorrow People","TFX","21h00","1.5%"
"20-09-2017","Submerged","CSTAR","Unknown","1.5%"
"20-09-2017","Soeur Thérèse.com","Chérie 25","20h55","1.5%"
"20-09-2017","Top Cars","RMC","Unknown","1.4%"
"20-09-2017","Père et maire","Gulli","20h55","1.4%"
"20-09-2017","Famille décomposée","6ter","21h00","1.2%"
"20-09-2017","Interrogation","NRJ 12","20h55","0.7%"
"20-09-2017","InvestigatiÃ´ns","France Ô","21h00","0.4%"
"20-09-2017","Il s'appelait Mandela","Numéro 23","20h55","0.2%"
"21-09-2017","Profilage","TF1","21h00","23.3%"
"21-09-2017","Scorpion","M6","21h00","10%"
"21-09-2017","Toutes nos envies","France 3","20h55","9.5%"
"21-09-2017","Envoyé spécial","France 2","21h00","8.6%"
"21-09-2017","Ghost","C8","21h00","4.6%"
"21-09-2017","Le bonheur est dans le pré","TMC","21h00","4.2%"
"21-09-2017","Â«IlÂ» est revenu","TF1 Séries Films","Unknown","3.6%"
"21-09-2017","Le treizième guerrier","CSTAR","20h50","3.4%"
"21-09-2017","Sans issue","W9","21h00","3.2%"
"21-09-2017","Viêtnam","ARTE","20h55","3.1%"
"21-09-2017","Cold Case","France 4","Unknown","2.9%"
"21-09-2017","Secret Story","TFX","21h00","2.6%"
"21-09-2017","La grande librairie","France 5","20h50","2.1%"
"21-09-2017","L'eau Ã  Paris : un défi technologique","RMC","20h50","1.9%"
"21-09-2017","La smala s'en mêle","France Ô","21h00","1.7%"
"21-09-2017","Mes meilleures amies","NRJ 12","20h55","1.7%"
"21-09-2017","Fenêtre sur Pacifique","Chérie 25","20h55","1.3%"
"21-09-2017","Non élucidé","Numéro 23","20h55","1.3%"
"21-09-2017","Départ immédiat","6ter","21h00","1.2%"
"21-09-2017","Les trésors du livre des records","Gulli","20h55","0.6%"
"22-09-2017","Koh-Lanta","TF1","21h00","24.9%"
"22-09-2017","Les petits meurtres d'Agatha Christie","France 2","21h05","17.7%"
"22-09-2017","NCIS : enquêtes spéciales","M6","Unknown","13.5%"
"22-09-2017","Fortune et infortunes des Bettencourt","France 3","20h55","6.3%"
"22-09-2017","La grande soirée des parodies","C8","21h00","3.00%"
"22-09-2017","Enquête d'action","W9","21h00","2.8%"
"22-09-2017","Le lapin blanc","ARTE","20h55","2.4%"
"22-09-2017","Mentalist","TMC","21h00","2.3%"
"22-09-2017","La maison France 5","France 5","20h50","2.3%"
"22-09-2017","Super Nanny","TFX","21h00","2.3%"
